SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,0,-1.1188008067964355,1,0,-0.1669118660402181,-0.8826164634250809,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0
0,1,1,-1.1188008067964355,1,1,-0.5153389433808665,-0.9068814706892347,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,0,0,-1.2409180113122174,1,0,-0.46390447005915153,-0.9549288178036082,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,1,1,-0.10115743583158582,1,0,0.08860132400959055,-0.13125687592464852,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,0
0,1,0,0.14307697319997809,1,1,1.0111034906829266,0.5155174587473736,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
0,1,1,0.9164859351332638,1,1,0.1367174442137754,0.677167163559567,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
0,0,0,-0.06045170099299184,1,1,0.6576988836659831,0.1378082679158427,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
1,1,1,-0.1825689055087738,0,1,-0.9633166142474143,-0.5816952702649228,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,0,0,-0.6710377235719016,1,0,-1.5257774676687466,-0.8655256490862239,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,-1.0780950719578415,1,0,-1.4859572302583868,-0.9516598430455984,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0
1,1,0,-0.22327464034736777,1,1,0.695859944517578,-0.034767271993591815,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0
0,0,0,1.0386031396490458,1,1,-1.3150620447055927,-0.3619938392131716,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,1,1,1.6084834273893616,1,1,1.326347036848275,2.3840765940825652,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0
0,0,0,-0.1825689055087738,0,1,-0.9682941439237093,-0.587070430101919,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0
0,1,1,0.30589991255435406,1,1,0.667653943018573,0.463499075181995,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0
0,0,0,-1.2816237461508113,1,0,-1.4743429943470319,-0.9999265844390328,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1
0,0,0,-1.1188008067964355,1,1,0.5000771105833088,-0.8279214696551572,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,0,-1.2816237461508113,1,1,0.14169497389007057,-0.978557581658485,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,-0.8338606629262776,1,1,1.3396204493183947,-0.4491811257120391,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0
0,0,0,-1.1188008067964355,1,1,1.034331962505636,-0.809975017627962,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,1
0,1,0,1.5677776925507676,1,1,0.7024966507526377,1.64394999367006,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,0,0,-1.2002122764736234,1,1,0.39886734049864436,-0.9087024432054416,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,1,0,-0.10115743583158582,1,0,-1.5025489958460367,-0.7211422740361364,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1
0,1,0,-0.30468611002455576,1,1,-1.4842980536996218,-0.7860610412103057,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
0,1,1,0.7943687306174818,1,0,-1.3399496930870676,-0.42487223959207304,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
1,0,0,0.5501343215859179,1,1,1.495583045842304,1.1300847132532315,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,1
0,0,0,-0.9559778674420595,1,1,0.18483356441796028,-0.7465700709793139,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,1,0,-0.5489205190561197,1,1,0.7273842991341125,-0.32248092955427354,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,0,0,-0.8338606629262776,1,1,-0.5153389433808665,-0.7405367283051346,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,1,0,0.5094285867473239,1,1,1.1206091435614158,0.9769475064686075,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,1,1,0.14307697319997809,1,1,1.313073624378155,0.6079921473716129,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0
0,0,0,0.22448844287716607,1,1,1.0011484313303363,0.6107345758598762,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,0
0,1,1,-1.2816237461508113,1,0,-1.5174815848749215,-1.0004970095645918,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,1,0,-0.9152721326034655,1,1,1.113972437326356,-0.5535689236892943,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,1,1,-0.7931549280876836,1,0,-0.6679831867872458,-0.7635511881786404,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0,0,-0.5896262538947137,1,1,0.5664441729339085,-0.3834505997053438,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,1
0,1,0,0.18378270803857208,0,0,-0.6480730680820658,-0.30988769793616844,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0
0,0,1,-1.1188008067964355,1,0,-1.4793205240233267,-0.9553895457896364,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
0,0,0,-0.8745663977648716,1,0,0.33250027814804467,-0.6510896807319381,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,1.2828375486806096,1,1,1.135541732590301,1.698930200002763,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,0
0,0,0,-1.2816237461508113,1,0,-0.3112602266527725,-0.984547045476852,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
1,1,0,0.18378270803857208,1,1,0.9148712502745568,0.5151664279008761,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,1,1,0.631545791263106,1,1,1.3379612727596297,1.183924069334817,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0
1,1,0,-0.5082147842175256,1,1,0.9828974891839214,-0.17537706544382886,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,-0.2639803751859618,1,1,0.15165003324266044,-0.21908040583279326,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0
0,0,0,-0.10115743583158582,1,0,-1.5108448786398618,-0.7550825690068833,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,1.4863662228735797,1,1,0.06537285218688103,0.9998083903467704,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0
0,1,1,1.2421318138420157,1,1,0.8120023036311275,1.4472630224918142,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,1,0,-1.1188008067964355,1,0,-1.5125040551986266,-0.9536124521292417,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1
0,1,0,0.26519417771576004,1,1,-1.4760021709057967,-0.6622787889640525,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,0,1,-1.1595065416350294,1,1,1.2201597370873154,-0.8489613810171134,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,1,0,1.1200146093262338,1,0,1.2019087949409006,1.6533839476696857,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,1,-0.5489205190561197,1,0,1.273253386967795,-0.12577201894812187,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,1
0,1,0,-0.8745663977648716,1,1,1.2301147964399053,-0.5063552748353529,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
1,0,0,-0.06045170099299184,1,1,1.1620885575305409,0.3893438088593547,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,-0.10115743583158582,1,1,0.642766294637098,0.061108027956093984,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
0,0,0,0.8350744654560759,1,0,-1.3382905165283026,-0.44771118404233,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,0,-1.1188008067964355,1,1,0.8103431270723621,-0.8063330725955483,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,1
1,0,0,0.7536629957788878,1,1,0.4868036981131887,0.7351311320875006,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0
0,1,0,1.5677776925507676,1,0,0.8086839505135972,1.7943447719664205,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,1,1.1607203441648277,1,1,-1.3250171040581826,-0.3514629138182404,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,0,0,-0.9966836022806536,1,1,0.31756768911915967,-0.7427745499515576,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,1,0,-0.9152721326034655,1,1,-0.3311703453579522,-0.7593168785927619,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
0,1,0,-0.8338606629262776,0,1,-0.5004063543519814,-0.7381233912354629,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0
0,1,0,1.3642490183577978,1,0,-0.03583691789778363,0.8623359350871068,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0
0,0,0,-0.3453918448631497,1,0,-0.14866092389380306,-0.3767371347660752,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0
0,1,1,-1.1595065416350294,1,0,-0.2797358720362375,-0.9057625598660234,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1
0,0,0,-1.1595065416350294,1,1,0.7970697146022425,-0.8530640540355553,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,1,0.1023712383613841,1,0,-0.30960105009400735,-0.1241265618551639,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0
1,0,0,0.5094285867473239,1,1,0.689223238282518,0.6488653015606894,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0
0,0,0,1.3235432835192036,1,1,1.495583045842304,2.123436190558019,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0
0,1,1,-0.7524491932490895,1,1,0.5299422886410788,-0.503086300077343,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,1,1,1.1607203441648277,0,1,-0.4722003528529765,0.346386409019198,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,0
0,1,1,1.4456604880349857,1,0,0.5116913464946635,1.34963256830964,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0
0,1,1,-0.38609757970174374,1,1,-0.2382564580671127,-0.4460218480935598,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,0
0,0,0,0.9164859351332638,1,1,0.5515115839050234,0.9697952529712167,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0
0,1,1,1.4863662228735797,1,0,-1.3432680462045974,-0.2549952493150897,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,1,0,-1.0373893371192475,1,0,0.5415565245524336,-0.754380507313888,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,0
0,1,1,1.6084834273893616,1,0,0.4685527559667738,1.5056438401499639,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
0,1,1,1.1607203441648277,1,1,-0.5053838840282764,0.29050668614234454,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
1,1,0,1.2828375486806096,1,0,0.5100321699358986,1.192787598208884,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0
1,1,0,-0.019745966154397852,1,1,0.9380997220972668,0.2771675139754317,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,-1.2816237461508113,1,1,0.4851445215544238,-0.9740161200819208,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
0,0,0,-1.2002122764736234,1,1,0.5763992322864984,-0.9148454830191515,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
0,0,1,-1.2002122764736234,1,0,-1.4842980536996218,-0.9867190488395567,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0
0,1,0,1.6084834273893616,1,1,0.6460846477546283,1.6661307552831337,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,1,-0.2639803751859618,0,1,-1.1657361544167435,-0.6638145489174799,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
0,0,0,0.26519417771576004,1,1,1.1786803231181906,0.6592207115323717,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,0
0,0,0,-1.2816237461508113,1,0,-1.5058673489635668,-1.0003434335692487,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,0,-1.2816237461508113,1,1,-1.5075265255223318,-1.000365372997155,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,1,1,0.9571916699718578,1,0,0.7954105380434776,1.1709798068702142,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,0
1,1,0,0.428017117070136,1,1,1.4142833944628193,0.9805016937893966,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,1
0,0,1,-1.2816237461508113,1,0,-1.3117436915880627,-0.9977765205042344,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,0,-0.1418631706701798,1,0,0.1981069768880804,-0.1468777485937965,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,0
0,0,0,-1.2409180113122174,1,1,0.5664441729339085,-0.9278994426232848,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,0,1.4456604880349857,1,0,0.4868036981131887,1.3875000208755799,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,0
0,1,1,1.4049547531963917,1,1,0.8169798333074222,1.7875216098876217,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,1,1,-0.5489205190561197,1,1,-1.3283354571757127,-0.8037003412468154,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,1,1,1.3642490183577978,0,1,-0.2714399892424126,0.618281739059577,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,0,-1.1595065416350294,0,1,-1.1906238027982183,-0.9520547527479083,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,1,1,-0.9559778674420595,1,0,-1.4992306427285067,-0.9164909401121094,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
1,1,0,0.8350744654560759,1,1,1.2915043291142099,1.3980528856984173,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,-0.38609757970174374,1,1,-1.5075265255223318,-0.8026033698515102,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,1,0,0.7129572609402939,1,0,1.4474669256381192,1.4529892131753082,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,1
0,0,0,-1.2409180113122174,1,0,0.33250027814804467,-0.9423355861855031,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,1,0,1.0793088744876398,1,0,-1.4793205240233267,-0.4529766467397956,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
0,1,1,1.2421318138420157,1,0,0.6162194696968583,1.3758940635132497,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,0,-0.30468611002455576,1,1,0.2030845065643751,-0.20256001661949494,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,0
0,0,0,-0.7524491932490895,1,1,0.5150096996121938,-0.5385404155736113,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
0,1,0,1.3235432835192036,1,0,0.07035038186317573,0.8820594807746965,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,0
1,1,0,1.4863662228735797,0,0,-0.2780766954774726,0.7254558443809077,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,0
0,1,1,-0.4675090493789317,1,1,0.3026351000902746,-0.32191050442871477,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0,1,1,0.428017117070136,1,1,0.873391836305432,0.7522877647100761,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0
1,1,0,1.5677776925507676,1,1,0.8982794846869069,1.8805886630653257,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,0
0,0,1,-0.5489205190561197,0,1,-1.3134028681468275,-0.7605235471275977,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,0,0,0.30589991255435406,1,0,-1.5025489958460367,-0.6446175494996367,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,-0.9559778674420595,1,1,0.6095827634617982,-0.6564429011410281,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,0,1.0386031396490458,1,1,1.27159421040903,1.6315542169031096,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,1
0,0,0,-1.2816237461508113,1,0,-1.4942531130522119,-1.000189857573906,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0
0,1,1,0.590840056424512,1,1,1.6100662283970886,1.324468044501336,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,0
0,1,0,1.0386031396490458,1,1,0.642766294637098,1.148338317271112,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,0
0,0,0,0.30589991255435406,1,1,1.2516840917038503,0.793687465168899,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,0
0,0,0,0.346605647392948,1,1,0.12178485518489039,0.2534948712647428,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,0
0,1,0,1.4049547531963917,1,1,1.1936129121470758,1.9455074302394948,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0
1,0,0,0.06166550352279012,1,1,1.1587702044130104,0.45801421820546834,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0
0,0,0,-1.2002122764736234,1,1,-1.5207999379924515,-0.9856440168721574,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1,1,0,1.1200146093262338,1,1,1.696343409452868,2.0300839248175357,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
1,0,0,-0.9966836022806536,1,1,0.9015978378044367,-0.6886280418792864,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,1,1,-0.7117434584104956,1,1,0.33084110158927976,-0.5230731188998061,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0,0,0,1.4456604880349857,1,1,1.233433149557435,2.1281312281299263,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,0
1,1,0,1.5677776925507676,1,0,-1.3100845150292975,-0.22364380683726337,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,1.0386031396490458,1,1,0.4934404043482487,0.9774082344546359,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0,0,-1.2409180113122174,1,0,-1.5174815848749215,-0.9925988155183934,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0
0,1,1,-0.7524491932490895,1,1,0.8202981864249524,-0.4787115956736586,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,1
0,1,0,1.5677776925507676,1,1,-1.461069581876912,-0.35372267489256937,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,0,0,-0.7524491932490895,1,1,1.1819986762357204,-0.3877946064307529,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,-1.0780950719578415,0,0,-0.46390447005915153,-0.8739503894021688,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,0
0,1,1,-0.7117434584104956,1,1,0.15165003324266044,-0.5388036887084845,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,0
0,1,1,0.9978974048104517,1,1,1.0824480827098208,1.4474165984871572,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,0
0,0,0,1.3642490183577978,1,1,-0.1254324520710933,0.7538893429472217,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0
1,1,0,1.4863662228735797,1,1,0.8302532457775423,1.686622180947437,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1
0,1,0,1.4456604880349857,1,0,-0.29964599074141746,0.6798876526199243,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
1,0,1,0.9571916699718578,1,0,0.9911933719777464,1.3009928566418019,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0
1,0,0,0.1023712383613841,1,1,1.1322233794727707,0.48111643579059865,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,1,1,0.428017117070136,1,0,-0.29135010794759253,0.0877424934341075,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
0,1,0,-0.06045170099299184,1,1,0.04878108659923111,-0.12265662018545478,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,0
0,1,1,0.020959768684196134,1,1,-0.21502798624440272,-0.15091460332852003,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,0
0,0,0,-1.2816237461508113,1,1,0.14667250356636527,-0.9784917633747667,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,0,0.46872285190873,1,0,1.1670660872068355,0.9122481335734993,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,1,1,0.9978974048104517,1,0,-0.38094564212090193,0.3306997180663318,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0
0,0,1,1.5270719577121736,1,0,0.0006649663950462456,0.9882243724123463,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0
0,0,0,-1.2816237461508113,1,0,-1.472683817788267,-0.9999046450111266,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
